student_name,linguistic_score,logical_math_score,spatial_score,bodily_kinesthetic_score,interpersonal_score,intrapersonal_score,emotional_regulation,engagement_frequency,generated_archetype
Dra. Mariane Pacheco,8.758534171347826,5.881917930961065,5.627170798505406,4.724237546186563,8.910880085255773,5.573839328270471,5.064066531431769,6.202190229374681,communicative
Maria Cecília Câmara,5.977988075959491,7.417801277335795,7.329007371638296,5.634322994730983,5.518230351710575,6.375019404860019,5.2012916486493666,6.241433519855573,balanced
Thomas Monteiro,6.612864222707753,9.481546579107446,8.419876738816038,2.8370609998584273,2.297613930594751,5.3384957167681115,5.818816886478778,6.293892405452943,analytical
Benicio Camargo,6.730867700986599,5.357456839455724,7.194150855167617,5.783101119165945,5.982906164521251,5.402230656681741,4.0606077917816465,6.70723631708884,balanced
Emanuel Vieira,3.589475117673947,2.7749379543054293,6.0535925737798975,8.91275137416328,4.749963314490766,5.576757858122964,3.635411743697462,7.496568461464601,kinesthetic
Mariana Peixoto,6.234846345733303,7.414734556301276,8.873143985946822,2.971486814162013,1.7078945472755924,6.931791483565737,5.4123267385615605,5.351798050388496,analytical
Matheus Garcia,3.1604553577847545,3.918909879542972,5.187342544817282,8.549343879878377,6.343053200264459,6.554484485810515,3.14115324422178,8.206377728733342,kinesthetic
Nina Moura,7.837927823481024,6.0689151064371,5.142288790411515,3.662919613204314,8.849247843326134,6.723147872868957,4.10965405156653,7.69221543623205,communicative
Yuri Albuquerque,8.995323408804158,7.645996375769359,6.016634966140327,5.417597647016692,8.353682847116128,7.099901135318548,5.483228656700372,7.860646394679797,communicative
Bruna Rodrigues,8.113805182254374,5.23733711339303,6.098136252795836,7.2997427667756485,8.758463418492823,5.79811719829897,5.766550984867565,7.249447353042674,communicative
Juliana Vargas,6.706487821717728,5.937730242389758,5.8556160691275,8.55448605427589,6.239002326692549,5.398567159923853,5.658913923035565,6.918756567357404,balanced
Manuela Camargo,3.0906163284302117,1.8493776173461065,6.735383147660163,7.965484731568805,7.498638220974037,6.864038452571719,2.642142483472999,9.52481308938809,kinesthetic
Pedro Henrique Castro,8.554284408421923,6.682218940097775,6.38778625383558,5.322914676007301,7.985160134146031,6.823968654064929,5.732179734314768,8.177081229406403,communicative
Agatha Silveira,5.235901936520517,6.338879252474769,7.650019935394516,5.145973668596581,6.019375565338207,7.129776444332343,5.936286887003428,6.361897436999787,balanced
Sra. Sarah Teixeira,5.150085177482496,6.342645677766119,5.850284587996361,6.78858399654389,6.949908841251801,8.071650913614892,6.463706538570861,6.260637053265733,balanced
Thiago Caldeira,8.655507441261868,5.717466965751449,6.270787074769353,5.763678871888777,8.63476878101569,7.054078028486368,5.194765947776287,9.411902848903237,communicative
Letícia Porto,4.053692053871893,2.905545178407137,4.302516080793124,8.013742410324454,7.037595637248888,5.9817055501608944,2.2005582141640714,8.096180063017426,kinesthetic
Fernanda Cassiano,6.672496021203642,8.937386854561103,8.308854320664244,2.70654047054825,2.6865934807649423,5.262071852401198,7.292300551575553,5.742143624630928,analytical
Sr. Vitor Hugo Vasconcelos,9.473726816660397,7.217052841537961,6.798648718518368,5.654703749825561,8.822984072269287,5.980643514887267,5.277038511415897,8.759487425377282,communicative
Agatha Peixoto,5.056768167072158,6.9501435107692515,5.6283061621612855,6.160927724698271,6.226630297236913,5.792876021036738,6.469355041180219,5.620077074701981,balanced
Dr. Antony Camargo,9.197037837965794,4.923216255802601,6.101103663637129,7.551143199246628,7.69973494031554,5.457804023580119,6.411126279727132,8.643665425551678,communicative
Dr. Isaque Araújo,3.280504079418847,3.391349704118131,6.507777174849416,9.387759873564978,6.32785492554281,5.806993876305166,3.538058960962185,10.019905547916172,kinesthetic
Bruno Barros,5.893893002893941,5.220376556263487,6.885664535429578,5.903695068837122,4.261864363188771,6.677937341720337,5.571737451236862,5.927573374156672,balanced
Sra. Ana Lívia Teixeira,6.265584264455212,8.652399743823253,9.067561453711232,2.6516109035441255,3.4104846385408663,5.792362657932866,6.591048384710002,6.492293987210442,analytical
Carolina Cardoso,2.2516490383643237,3.8687856929400257,5.571229243908761,9.146446238624916,6.293829850721073,7.470546941436098,2.8212272141025183,8.220546563105442,kinesthetic
Olívia Novaes,8.484464315289815,5.75745617373258,6.63995352155364,4.706951513250729,7.657054064682916,5.145757662736646,6.760246073578861,9.868490698065541,communicative
João Moura,5.916440625170023,5.864942621447992,6.056041730490545,6.929502642086552,5.258117492647541,6.190695186187828,6.7801581038259435,6.400875335951876,balanced
Mariana Cunha,3.151665293278995,3.800836874053713,3.83741416560061,9.042300255624726,5.476739453498061,4.535493682514835,3.4089620796199847,9.598926836130365,kinesthetic
Gabriela Silva,5.890041188297847,6.762299637762351,7.289822606390916,7.051931562867238,7.311971623497114,6.593701992857514,6.060346911121274,4.718427350482266,balanced
Murilo Rios,2.8031500094960413,2.3254027237470467,7.736754173998251,8.35929135005413,6.098563845427589,6.4411883008323745,3.034881957097963,9.856040832344602,kinesthetic
Maria Fernanda Macedo,5.501880510612438,8.655685964189795,7.906023531441561,1.9439819910234353,2.5105847272757718,5.97037056236127,5.656558220386192,5.4460632161009155,analytical
Milena Campos,4.874946029062533,5.933515541897044,4.796223700775198,6.6080447709516825,6.065951802347603,4.833958800428055,5.752632738360109,5.398274875527534,balanced
Henry Gabriel Azevedo,6.255339608335344,7.072360356818516,4.499862024283404,6.092020863317933,5.871893763546687,6.537072061160373,6.170557302590152,5.398424534608945,balanced
Sr. Yuri da Conceição,5.744756851466706,5.363179314557208,6.8608057108788785,6.017049318937554,7.520952548602406,5.951471348948304,5.433274586471629,4.789028485909738,balanced
Hellena Abreu,4.557488258995244,4.732691245595608,6.213701320809187,6.406980018583947,4.735047438374293,6.716030651260892,5.613551158653248,6.11743440958844,balanced
Bento da Conceição,7.289776502604339,6.7174714526924255,5.785175481675334,5.28704621966777,4.278547678936556,5.424677344606064,5.831095808937844,5.210256378279053,balanced
Arthur Gabriel Farias,8.394994426326157,6.061481506367015,5.820115214553537,5.479997935341232,8.634923737573382,6.353552519655527,5.127680738045723,9.628745903797016,communicative
Théo da Costa,8.421129494172591,6.015079698355878,6.5665715386052455,6.186572905010801,9.262509307130596,6.229699332161459,5.51005010028765,8.789202820164881,communicative
Ryan Cunha,5.08501903414347,6.0868477646212185,5.973416007484431,5.833506514181968,5.897169990848855,4.494520763601889,5.561020073807231,6.074275920912892,balanced
Caroline Silveira,3.1278851135979204,2.1778598872592334,7.01256627269176,7.8070601214284,6.775565760421389,6.341755489497348,2.4830181521249575,9.92024871408761,kinesthetic
Olívia da Cruz,5.045090534594816,6.735323338888001,6.800465854434383,5.4635038327386845,7.113972240051464,5.799962788320838,6.230954903423886,6.208257471016976,balanced
Maria Luísa Correia,5.892553006823562,6.648646618527826,6.634790976441771,4.601174421409455,7.043472194302522,4.67000640957146,6.826036963473326,6.901364109462067,balanced
Calebe Ribeiro,2.1272268558278413,2.671348569636332,5.115436265211251,8.328063175769012,5.753572572651407,6.623728425815472,4.048246996895687,9.616547048631965,kinesthetic
Maria Lima,8.050265578737358,5.832622501004378,4.653249446223239,5.355303946803049,9.271881306477965,7.292466258838585,5.012520902496062,8.026028592677685,communicative
Nina Siqueira,5.978875394432858,6.224128927055686,5.352317184062683,6.339248835571272,5.6209285223432675,5.988438183297377,6.43702739840296,6.00513781584875,balanced
Carlos Eduardo Araújo,8.150891287578744,5.912312156859335,5.929309632635732,5.703991176094298,8.292963149866319,7.278917736403773,6.448735558352991,8.263615745576672,communicative
Maitê Caldeira,6.5575635236085885,5.732944408195192,6.938499710069313,6.295713753758475,5.914158284796617,6.358173540648222,4.743299078345201,5.098586024872156,balanced
Gael Correia,2.0448599948807558,3.1143544758109654,7.3860119995880735,10.285040116954105,6.510440881152606,6.400675579955566,1.5591538126778088,8.065860960212783,kinesthetic
Melissa Carvalho,5.369772998473409,5.503321921399107,5.8654849451321684,5.622327537842298,4.41656015169937,6.5983282048940275,5.141805579408155,6.19139749128892,balanced
Emilly da Mota,7.659266135799979,7.764492326730862,6.4757699818029355,2.7711966224959115,3.880767707998857,7.566677963376475,5.016360324438066,6.3973593785892175,analytical
Isadora Barbosa,5.627751634575957,5.915241316556691,8.115474677613628,4.797623737283877,6.202991729195658,6.3741545374123465,6.868629059951478,6.078386522776716,balanced
Beatriz Aragão,3.2464404316032818,2.686681146062567,6.2153015529960856,8.225446179602072,6.497257511884841,5.704311731165093,3.3016803151217493,8.476589749052017,kinesthetic
Ágatha Albuquerque,3.9008402006177345,2.958885021129211,4.581574025434495,9.509537200571193,5.275414159309905,5.476986929080944,2.523470964765206,9.599550474536654,kinesthetic
Isaac Cavalcante,6.791460628817044,8.510198826927995,6.844845447252841,6.178591131303328,8.456084799506971,6.2284432598861255,6.4168979427034705,9.016172468760045,communicative
Raquel Mendes,6.444483572802759,6.071664545004199,5.842129263754139,5.878981373077191,5.844073375717855,6.907016077493652,6.474845377824689,3.6476890922685756,balanced
Murilo Araújo,6.524720621223809,6.15578895577502,5.985032994843282,5.689185237528891,6.899290175988811,6.758021169698287,5.3816978657411125,6.325641829699628,balanced
Mateus Abreu,7.722674612366971,4.896305468168856,5.498626220328028,6.689914777906207,9.26250003630087,6.410468336077835,6.580076629478397,8.912942629691967,communicative
Julia Viana,5.486814723821638,8.845538035739153,9.140327620182147,3.6034330638508596,3.9511306971797144,6.566643077760851,6.281158566033266,6.856120190653142,analytical
Laura Lima,5.978782992600752,7.794500279017826,8.36954642884499,2.404077884154841,2.4598573800204946,5.884385063427586,5.366064063200031,5.753630776288768,analytical
Dra. Raquel Cassiano,4.4851082664369715,6.170634965898351,6.000964380289779,5.346329095145448,6.527396534745924,6.750056110101247,4.71395210850482,5.389820177147029,balanced
Juan Cunha,5.384686120170161,5.2480775191129085,6.663579873545399,5.844939088981757,5.788388126951512,4.396910108474597,6.508334424167381,5.008593284117222,balanced
Vitor Hugo Araújo,3.0479461042130627,3.221901550366553,7.088526876670921,7.45294368070471,3.5843902753433396,6.147079635802956,4.440408945208683,9.491157082351549,kinesthetic
Sra. Ana Laura Aragão,8.6677275322197,5.606691051494362,6.645698077309849,5.221163040236425,8.881086215484975,6.404376127333301,6.848167925999104,10.707728031128863,communicative
Pietra Montenegro,3.3139327737430135,2.592829099434001,5.979540550246404,7.084739276088706,5.444229495128753,5.6725740495095165,2.580729281652326,8.621883897626978,kinesthetic
Eduarda Araújo,2.3420640540942395,3.896824533859577,6.000165651934558,8.492559743089108,5.737684226789666,6.124152547087183,3.6600786117341078,7.8062958274312795,kinesthetic
Anna Liz Cirino,2.4735068087397947,2.7570191769786683,4.923303261221428,7.844593712222801,5.6190233011642725,6.699511344570182,3.21004906320154,8.654871929094035,kinesthetic
Bernardo Rocha,6.680718369734378,5.890102569280483,6.312371879943112,5.917422597654003,6.212289879519703,5.533793073910735,4.048946273378856,5.892576670250957,balanced
Nathan Campos,7.138198508879952,9.240972321793274,9.272317987672936,3.9889045774449743,3.07092607276915,6.157852565924476,5.50587848365252,5.74714171517836,analytical
Isadora Pacheco,6.492616919816913,6.963107549735053,5.8884429794552,5.639848588118871,6.000422367085278,6.480965399143292,4.8449161470931665,4.16305523749021,balanced
Ana Cecília Pinto,2.559570520406733,2.023430059268673,5.593487841882151,8.381775744946022,5.637401272781589,7.161974027576596,3.261395811681856,8.740379487688664,kinesthetic
Otto Ribeiro,3.4977657152347215,2.0889335057753846,6.831289429936215,8.439388570771632,6.53638449379297,5.142514213567876,1.7569929871871484,9.154311726420023,kinesthetic
Stephany Dias,6.301127620878013,5.278358756513992,5.304269534980245,6.9003478275318155,5.0484704857061375,7.314138362604771,5.279503412281705,6.510713540486706,balanced
Gustavo Rios,5.737105219400812,6.482549944865874,5.564708798308646,5.8697656751421645,6.032735340316577,5.198250035374822,6.592659476336101,5.589429146822732,balanced
Sra. Isabella da Luz,5.817120067727985,5.2045205003131905,3.9501330729637516,5.847177789919865,7.930092337290333,6.627683430318419,5.984591696212484,5.789687336633386,balanced
Caroline Rios,6.0179727142496375,8.937695292140168,7.555349747752924,3.8914573557350978,3.5723050523529953,6.574548580566348,6.350780591047782,6.015693326155192,analytical
Letícia Marques,6.538288988773456,8.973451306993102,8.216767431247181,2.541118581682479,3.0814850362095894,7.23921612119615,5.008714339476879,4.8259797873980474,analytical
Sr. Anthony Marques,6.131808672989213,6.040710161484815,6.138673331496326,6.195162558326801,5.8214381962921555,7.191890750881666,4.719276817218788,5.337202380175803,balanced
Beatriz Barbosa,2.917396191880762,1.6854489510766661,5.859316476454343,9.829176132582415,6.016709190636769,6.184560724574947,1.9918681878619358,8.006910873568419,kinesthetic
Hadassa Montenegro,8.19984289574085,5.745827922595013,7.025315036003015,6.4461528485801,7.610833634450374,6.197203822745604,6.398577398797428,9.412119230817012,communicative
Davi Lucca Ferreira,7.264432549254699,7.687924646537705,7.851313991031729,1.993937712868307,2.812784112714415,6.373086699557067,6.789867613271282,5.9392391810859815,analytical
Joaquim Freitas,5.744121981396125,8.621406393798992,7.831885678695982,4.671630977355819,1.713871178305553,6.14779246311658,7.618884975383711,6.0054398756479985,analytical
Emanuel Macedo,5.847968771998804,5.714043661751658,5.855686654590074,7.098278779741224,4.2305104709363945,7.22674696103706,4.860834278039884,5.786678136612468,balanced
Liz Pimenta,8.15660446376107,6.470842615816576,4.721500518493002,6.369738132865554,10.119447698629482,4.909460796325751,6.151764934088317,7.970414257762712,communicative
Vitória Albuquerque,8.840709764954429,6.015318221932602,5.486810472764552,6.390297827896859,9.943478487829395,5.847276966618161,6.575806353718545,7.465381633703069,communicative
